attendance,away_team,game_type,home_team,venue,day_of_week,sky,total_runs,game_hours_dec,season,home_team_outcome
20250,Arizona Diamondbacks,Night Game,San Diego Padres,Petco Park,Monday,Cloudy,5,2.766666667,regular,Win
10072,Houston Astros,Night Game,Oakland Athletics,Oakland-Alameda County Coliseum,Monday,Sunny,6,2.683333333,regular,Loss
29665,Atlanta Braves,Night Game,New York Mets,Citi Field,Monday,Unknown,10,3.183333333,regular,Loss
17214,Washington Nationals,Night Game,Miami Marlins,Marlins Park,Monday,In Dome,7,2.833333333,regular,Win
43435,San Francisco Giants,Night Game,Los Angeles Dodgers,Dodger Stadium,Monday,Unknown,3,2.966666667,regular,Win
31502,Chicago White Sox,Day Game,Kansas City Royals,Kauffman Stadium,Monday,Sunny,11,2.583333333,regular,Win
26783,St. Louis Cardinals,Night Game,Colorado Rockies,Coors Field,Monday,Sunny,8,3.016666667,regular,Loss
39251,Cincinnati Reds,Night Game,Chicago Cubs,Wrigley Field,Monday,Overcast,7,2.7,regular,Win
18456,Boston Red Sox,Night Game,Baltimore Orioles,Oriole Park at Camden Yards,Monday,Cloudy,7,2.55,regular,Loss
41324,St. Louis Cardinals,Day Game,San Francisco Giants,AT&T Park,Sunday,Sunny,3,2.816666667,regular,Loss
25383,Houston Astros,Day Game,Seattle Mariners,Safeco Field,Sunday,Cloudy,10,2.55,regular,Win
20059,Miami Marlins,Day Game,Philadelphia Phillies,Citizens Bank Park,Sunday,Unknown,9,3.266666667,regular,Loss
28926,Minnesota Twins,Day Game,New York Mets,Citi Field,Sunday,Unknown,5,2.966666667,regular,Win
34982,Chicago White Sox,Day Game,Kansas City Royals,Kauffman Stadium,Sunday,Sunny,13,3.066666667,regular,Win
25811,San Diego Padres,Day Game,Colorado Rockies,Coors Field,Sunday,Sunny,9,3.333333333,regular,Win
21382,Detroit Tigers,Day Game,Cleveland Indians,Progressive Field,Sunday,Cloudy,14,3.633333333,regular,Loss
19597,Pittsburgh Pirates,Day Game,Cincinnati Reds,Great American Ball Park,Sunday,Cloudy,11,2.866666667,regular,Win
41286,Milwaukee Brewers,Day Game,Chicago Cubs,Wrigley Field,Sunday,Cloudy,4,2.616666667,regular,Loss
37306,New York Yankees,Night Game,Boston Red Sox,Fenway Park,Sunday,Unknown,9,3.516666667,regular,Win
28427,Tampa Bay Rays,Day Game,Baltimore Orioles,Oriole Park at Camden Yards,Sunday,Unknown,3,3.016666667,regular,Win
37296,Washington Nationals,Day Game,Atlanta Braves,Turner Field,Sunday,Overcast,8,2.6,regular,Win
26159,Los Angeles Dodgers,Day Game,Arizona Diamondbacks,Chase Field,Sunday,In Dome,19,4.483333333,regular,Win
36270,Toronto Blue Jays,Day Game,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,Sunday,Sunny,4,3.416666667,regular,Win
39691,Oakland Athletics,Night Game,Texas Rangers,Globe Life Park in Arlington,Saturday,Sunny,13,2.866666667,regular,Loss
41403,St. Louis Cardinals,Night Game,San Francisco Giants,AT&T Park,Saturday,Sunny,5,2.883333333,regular,Loss
32304,Houston Astros,Night Game,Seattle Mariners,Safeco Field,Saturday,Overcast,3,2.55,regular,Loss
24597,Miami Marlins,Night Game,Philadelphia Phillies,Citizens Bank Park,Saturday,Unknown,8,2.7,regular,Win
36941,Minnesota Twins,Night Game,New York Mets,Citi Field,Saturday,Cloudy,5,4.25,regular,Win
34805,Chicago White Sox,Night Game,Kansas City Royals,Kauffman Stadium,Saturday,Sunny,5,2.6,regular,Win
34724,San Diego Padres,Night Game,Colorado Rockies,Coors Field,Saturday,Cloudy,8,2.883333333,regular,Win
26654,Detroit Tigers,Day Game,Cleveland Indians,Progressive Field,Saturday,Overcast,1,3.883333333,regular,Win
24397,Pittsburgh Pirates,Night Game,Cincinnati Reds,Great American Ball Park,Saturday,Unknown,10,3.483333333,regular,Loss
17226,Pittsburgh Pirates,Day Game,Cincinnati Reds,Great American Ball Park,Saturday,Overcast,14,3.333333333,regular,Loss
40956,Milwaukee Brewers,Day Game,Chicago Cubs,Wrigley Field,Saturday,Cloudy,14,3.033333333,regular,Loss
37267,New York Yankees,Day Game,Boston Red Sox,Fenway Park,Saturday,Cloudy,11,3.6,regular,Win
27823,Tampa Bay Rays,Night Game,Baltimore Orioles,Oriole Park at Camden Yards,Saturday,Cloudy,7,3,regular,Loss
36016,Washington Nationals,Day Game,Atlanta Braves,Turner Field,Saturday,Cloudy,10,3.433333333,regular,Win
